                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.53773,                0.38347,                 1.8131,                0.83176,                0.77884,                0.80726,                0.71921,                0.67198,                0.77597,                 1.9703,              0.0057925,              0.0057925,              0.0057925
                     87,                0.53085,                0.37723,                 1.8079,                0.82934,                0.77917,                0.80675,                0.71862,                0.67069,                0.76914,                 1.9688,               0.005743,               0.005743,               0.005743
                     88,                0.52847,                0.37202,                 1.8101,                0.82766,                0.77898,                0.80618,                0.72045,                0.66984,                 0.7716,                  1.968,              0.0056935,              0.0056935,              0.0056935
                     89,                0.52769,                0.37362,                 1.8034,                0.82834,                0.78017,                0.80621,                0.71802,                0.67053,                0.78317,                 1.9672,               0.005644,               0.005644,               0.005644
                     90,                0.52746,                0.37623,                 1.8063,                0.82956,                0.78059,                 0.8058,                0.71811,                0.67007,                0.77949,                 1.9651,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.5172,                0.36689,                 1.8035,                0.82979,                0.78004,                0.80505,                0.71728,                0.66996,                0.77963,                 1.9666,               0.005545,               0.005545,               0.005545
                     92,                0.52349,                0.37459,                 1.8105,                0.83104,                0.78025,                 0.8044,                0.71596,                 0.6674,                0.77657,                 1.9631,              0.0054955,              0.0054955,              0.0054955
                     93,                0.52711,                0.37658,                   1.81,                 0.8311,                0.78031,                0.80514,                0.71681,                0.66773,                0.78587,                 1.9645,               0.005446,               0.005446,               0.005446
                     94,                0.51492,                0.36349,                 1.8013,                0.83072,                0.78038,                0.80545,                0.71663,                  0.667,                0.79128,                 1.9642,              0.0053965,              0.0053965,              0.0053965
                     95,                0.51819,                  0.366,                 1.7989,                0.83103,                0.78039,                0.80628,                0.71699,                0.66739,                0.78805,                 1.9662,               0.005347,               0.005347,               0.005347
                     96,                 0.5174,                0.36865,                 1.8014,                0.83219,                0.77976,                0.80585,                0.71706,                0.66701,                0.77795,                 1.9674,              0.0052975,              0.0052975,              0.0052975
                     97,                0.51186,                0.36364,                 1.8025,                0.83223,                0.77939,                0.80453,                0.71691,                0.66606,                0.77661,                 1.9675,               0.005248,               0.005248,               0.005248
                     98,                 0.5049,                0.35941,                 1.7962,                0.83197,                0.77936,                0.80295,                0.71523,                0.66748,                0.77805,                 1.9697,              0.0051985,              0.0051985,              0.0051985
                     99,                0.49396,                 0.3494,                 1.7966,                0.83334,                0.78296,                0.80567,                0.71624,                0.66648,                0.77505,                 1.9697,               0.005149,               0.005149,               0.005149
                    100,                0.50879,                0.35884,                 1.7964,                0.83435,                0.78397,                0.80559,                0.71699,                0.67179,                0.77779,                 1.9855,              0.0050995,              0.0050995,              0.0050995
