                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.52501,                0.07966,                 0.8257,                0.36719,                0.98761,                0.96883,                0.99057,                 0.9925,                0.90532,                0.96328,                0.99057,                0.99207,                0.95545,                 0.4868,                0.16852,                  1.849,                0.24645,                0.88973,                0.00766,                0.00766,                0.00766
                     41,                0.52421,                0.08361,                0.84162,                0.37004,                0.98946,                0.97141,                0.99057,                0.98906,                0.88733,                0.96832,                0.98742,                0.98763,                0.95326,                0.50199,                0.17087,                 1.8517,                0.27007,                0.89463,                 0.0076,                 0.0076,                 0.0076
                     42,                0.52532,                0.07747,                0.83486,                0.36528,                0.99724,                0.96325,                0.98906,                0.99027,                0.89944,                0.96634,                0.99312,                0.98981,                0.95835,                0.50739,                0.16219,                 1.4938,                0.25887,                0.89386,                0.00754,                0.00754,                0.00754
                     43,                0.52153,                0.08103,                0.78984,                0.36724,                0.99324,                0.96245,                0.96725,                0.97704,                 0.8653,                0.95933,                 0.9642,                 0.9755,                0.93746,                0.52474,                0.17694,                 2.5555,                0.32474,                0.89855,                0.00748,                0.00748,                0.00748
                     44,                0.51702,                0.07935,                0.79898,                0.36576,                0.99378,                 0.9654,                0.98113,                0.99148,                0.88779,                0.97064,                0.97799,                0.99085,                0.95167,                0.50875,                0.18243,                 2.0386,                0.27939,                0.89363,                0.00742,                0.00742,                0.00742
                     45,                0.52493,                0.08106,                0.80852,                0.36746,                0.99479,                0.97803,                0.97996,                0.98987,                 0.9067,                0.97489,                0.97682,                0.98925,                0.96512,                0.48109,                0.15682,                 1.8671,                 0.2589,                0.88217,                0.00736,                0.00736,                0.00736
                     46,                 0.5197,                0.08329,                0.83051,                0.36398,                0.99013,                0.97791,                0.97448,                0.98944,                0.88134,                0.97488,                0.97624,                0.98892,                0.95343,                 0.5003,                0.17002,                 1.6487,                0.27659,                0.90489,                 0.0073,                 0.0073,                 0.0073
                     47,                0.52427,                0.08165,                 0.8012,                0.37138,                0.99266,                0.98059,                0.98113,                0.99169,                0.89946,                0.96924,                0.98428,                0.99136,                0.95058,                0.49692,                0.19953,                 1.4686,                0.26073,                0.89169,                0.00724,                0.00724,                0.00724
                     48,                0.52202,                0.07958,                0.81269,                0.36721,                0.99783,                0.97213,                 0.9873,                0.99157,                0.90904,                0.96904,                0.98415,                0.99086,                0.96032,                0.46554,                0.15681,                 2.1996,                0.24241,                0.87725,                0.00718,                0.00718,                0.00718
                     49,                0.51558,                0.07849,                0.80032,                0.36242,                0.99481,                0.96571,                0.97431,                0.98699,                 0.8884,                0.96886,                0.97836,                0.98743,                0.96057,                0.49531,                0.15929,                 1.9761,                0.27065,                0.88637,                0.00712,                0.00712,                0.00712
