                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 0.7226,                0.56999,                 1.9339,                0.86821,                0.88678,                0.91518,                0.81477,                 0.6526,                0.85967,                 1.7936,              0.0086989,              0.0086989,              0.0086989
                     94,                 0.7288,                0.57646,                 1.9426,                0.88723,                0.86666,                0.91429,                0.81587,                0.65232,                0.86833,                 1.7932,              0.0086847,              0.0086847,              0.0086847
                     95,                0.72065,                0.56705,                 1.9307,                0.88079,                0.87781,                0.91469,                0.81666,                0.65317,                0.86457,                  1.795,              0.0086706,              0.0086706,              0.0086706
                     96,                0.72501,                0.57709,                 1.9326,                0.87324,                0.88384,                0.91433,                0.81561,                0.65319,                0.85958,                 1.7967,              0.0086564,              0.0086564,              0.0086564
                     97,                 0.7216,                0.56435,                 1.9275,                0.87537,                0.88217,                 0.9145,                0.81625,                0.65277,                0.86081,                 1.7972,              0.0086423,              0.0086423,              0.0086423
                     98,                0.73314,                0.57281,                  1.933,                0.87597,                0.88233,                0.91512,                0.81582,                0.65328,                0.85621,                 1.7973,              0.0086281,              0.0086281,              0.0086281
                     99,                0.72498,                0.56751,                 1.9272,                0.87776,                0.88132,                 0.9151,                0.81545,                0.65345,                0.85804,                 1.7976,               0.008614,               0.008614,               0.008614
                    100,                0.72906,                0.57294,                 1.9288,                0.87488,                0.88241,                0.91384,                0.81544,                0.65368,                0.85486,                 1.7989,              0.0085999,              0.0085999,              0.0085999
                    101,                 0.7236,                0.57015,                 1.9285,                0.87596,                0.88444,                0.91402,                0.81527,                0.65494,                0.85144,                 1.8003,              0.0085857,              0.0085857,              0.0085857
                    102,                0.72058,                0.57186,                 1.9384,                 0.8727,                0.88457,                0.91403,                0.81497,                0.65352,                  0.853,                 1.7995,              0.0085716,              0.0085716,              0.0085716
                    103,                 0.7243,                0.57142,                 1.9229,                0.87052,                0.88666,                0.91412,                0.81475,                0.65342,                0.85149,                 1.7992,              0.0085574,              0.0085574,              0.0085574
                    104,                 0.7194,                0.57069,                 1.9324,                0.87696,                 0.8808,                0.91409,                 0.8154,                0.65299,                0.85527,                 1.7998,              0.0085433,              0.0085433,              0.0085433
                    105,                0.71692,                0.55834,                 1.9344,                0.87515,                0.88221,                0.91389,                0.81484,                0.65214,                  0.858,                 1.7991,              0.0085291,              0.0085291,              0.0085291
                    106,                0.71704,                0.56291,                 1.9225,                0.90242,                0.85657,                0.91404,                0.81403,                0.65186,                0.85336,                 1.8005,               0.008515,               0.008515,               0.008515
                    107,                0.71387,                 0.5607,                   1.93,                0.90611,                0.85558,                0.91365,                0.81368,                0.65112,                0.85689,                 1.7998,              0.0085009,              0.0085009,              0.0085009
                    108,                0.72185,                 0.5653,                 1.9224,                  0.907,                0.85646,                0.91319,                0.81373,                0.65094,                 0.8503,                 1.8008,              0.0084867,              0.0084867,              0.0084867
                    109,                0.71229,                0.55844,                 1.9267,                0.90441,                0.85727,                0.91309,                0.81452,                0.65037,                0.84812,                 1.8006,              0.0084726,              0.0084726,              0.0084726
                    110,                0.71118,                0.55286,                 1.9216,                0.90426,                0.85827,                0.91302,                0.81385,                0.65013,                0.84696,                 1.8013,              0.0084584,              0.0084584,              0.0084584
                    111,                0.71096,                0.55854,                 1.9289,                0.90382,                0.85816,                0.91278,                0.81349,                0.65021,                0.84716,                 1.8031,              0.0084443,              0.0084443,              0.0084443
                    112,                0.71506,                0.55694,                 1.9218,                0.90055,                0.85943,                0.91299,                 0.8132,                0.64981,                0.84856,                 1.8029,              0.0084301,              0.0084301,              0.0084301
                    113,                 0.7031,                0.54771,                 1.9169,                0.90063,                0.86073,                0.91294,                0.81377,                0.64972,                0.84699,                 1.8028,               0.008416,               0.008416,               0.008416
                    114,                0.71067,                0.55404,                 1.9165,                0.90127,                0.86105,                0.91268,                0.81354,                0.65081,                0.84666,                 1.8049,              0.0084019,              0.0084019,              0.0084019
                    115,                0.71211,                0.55402,                 1.9113,                0.90163,                0.86055,                0.91282,                0.81329,                0.65147,                0.84827,                 1.8063,              0.0083877,              0.0083877,              0.0083877
                    116,                0.70749,                0.54781,                 1.9124,                0.90321,                0.86039,                0.91285,                0.81315,                0.65095,                0.84812,                 1.8043,              0.0083736,              0.0083736,              0.0083736
                    117,                0.69888,                0.54125,                 1.9119,                0.90498,                0.86016,                0.91279,                0.81338,                0.64989,                 0.8567,                 1.8022,              0.0083594,              0.0083594,              0.0083594
                    118,                 0.7019,                0.54658,                 1.9076,                0.90419,                0.86238,                0.91254,                0.81391,                0.65054,                0.86299,                 1.8023,              0.0083453,              0.0083453,              0.0083453
                    119,                0.70623,                0.54871,                 1.9152,                0.90411,                0.86224,                0.91241,                0.81357,                0.65022,                 0.8599,                 1.8022,              0.0083311,              0.0083311,              0.0083311
                    120,                 0.7065,                 0.5488,                  1.922,                 0.9006,                0.86219,                0.91233,                0.81443,                0.65024,                0.86356,                 1.8021,               0.008317,               0.008317,               0.008317
                    121,                 0.6996,                0.54456,                  1.913,                0.89991,                0.86028,                0.91236,                0.81415,                0.65071,                0.87359,                  1.801,              0.0083029,              0.0083029,              0.0083029
