                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0002,                0.55709,                 1.5102,                0.98021,                0.96903,                0.99144,                0.83237,                0.72996,                0.57109,                 1.2256,              0.0082378,              0.0082378,              0.0082378
                     91,                0.99932,                0.55706,                   1.51,                0.97953,                0.96974,                0.99143,                0.83266,                0.72969,                 0.5731,                 1.2252,               0.008218,               0.008218,               0.008218
                     92,                0.99921,                0.55672,                 1.5071,                0.97969,                 0.9695,                0.99151,                0.83278,                0.72974,                0.56857,                  1.225,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.0008,                0.55824,                 1.5084,                0.98045,                0.96939,                0.99152,                0.83277,                0.72889,                0.57876,                 1.2239,              0.0081784,              0.0081784,              0.0081784
                     94,                0.99783,                0.55568,                 1.5057,                0.98062,                0.96949,                0.99154,                0.83276,                0.72828,                0.56124,                 1.2234,              0.0081586,              0.0081586,              0.0081586
                     95,                0.99766,                0.55496,                 1.5049,                0.98049,                0.96922,                0.99153,                0.83265,                0.72885,                0.59114,                 1.2239,              0.0081388,              0.0081388,              0.0081388
                     96,                0.99684,                0.55461,                  1.504,                0.98023,                0.96906,                 0.9915,                0.83299,                0.72806,                0.59489,                 1.2232,               0.008119,               0.008119,               0.008119
                     97,                 0.9972,                0.55553,                 1.5056,                0.97983,                 0.9696,                0.99146,                0.83279,                0.72823,                0.59937,                 1.2232,              0.0080992,              0.0080992,              0.0080992
                     98,                0.99778,                0.55449,                 1.5043,                0.98008,                0.96945,                0.99142,                0.83241,                0.72994,                0.60609,                 1.2244,              0.0080794,              0.0080794,              0.0080794
                     99,                0.99638,                0.55326,                 1.5084,                0.97949,                0.97002,                0.99144,                0.83263,                0.72922,                0.59855,                 1.2248,              0.0080596,              0.0080596,              0.0080596
                    100,                0.99958,                0.55408,                 1.5071,                0.98029,                0.96927,                0.99145,                0.83263,                0.72868,                0.61088,                 1.2233,              0.0080398,              0.0080398,              0.0080398
                    101,                0.99722,                0.55289,                 1.5032,                0.98107,                0.96896,                0.99153,                 0.8327,                0.72861,                0.61041,                 1.2228,                0.00802,                0.00802,                0.00802
                    102,                0.99588,                0.55315,                 1.5037,                0.98065,                0.96919,                 0.9915,                0.83291,                0.72812,                0.59144,                 1.2223,              0.0080002,              0.0080002,              0.0080002
